column_name,source,description,data_type,missing_values
work_activity_operating_vehicles_mechanized_devices_or_equipment__4_a_3_a_4,onet_work_activities.xlsx,"O*NET Operating Vehicles, Mechanized Devices, or Equipment; element 4.A.3.a.4; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.",float64,24
work_activity_organizing_planning_and_prioritizing_work__4_a_2_b_6,onet_work_activities.xlsx,"O*NET Organizing, Planning, and Prioritizing Work; element 4.A.2.b.6; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.",float64,24
work_activity_performing_administrative_activities__4_a_4_c_1,onet_work_activities.xlsx,O*NET Performing Administrative Activities; element 4.A.4.c.1; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_activity_performing_for_or_working_directly_with_the_public__4_a_4_a_8,onet_work_activities.xlsx,O*NET Performing for or Working Directly with the Public; element 4.A.4.a.8; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_activity_performing_general_physical_activities__4_a_3_a_1,onet_work_activities.xlsx,O*NET Performing General Physical Activities; element 4.A.3.a.1; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_activity_processing_information__4_a_2_a_2,onet_work_activities.xlsx,O*NET Processing Information; element 4.A.2.a.2; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_activity_providing_consultation_and_advice_to_others__4_a_4_b_6,onet_work_activities.xlsx,O*NET Providing Consultation and Advice to Others; element 4.A.4.b.6; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_activity_repairing_and_maintaining_electronic_equipment__4_a_3_b_5,onet_work_activities.xlsx,O*NET Repairing and Maintaining Electronic Equipment; element 4.A.3.b.5; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_activity_repairing_and_maintaining_mechanical_equipment__4_a_3_b_4,onet_work_activities.xlsx,O*NET Repairing and Maintaining Mechanical Equipment; element 4.A.3.b.4; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_activity_resolving_conflicts_and_negotiating_with_others__4_a_4_a_7,onet_work_activities.xlsx,O*NET Resolving Conflicts and Negotiating with Others; element 4.A.4.a.7; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_activity_scheduling_work_and_activities__4_a_2_b_5,onet_work_activities.xlsx,O*NET Scheduling Work and Activities; element 4.A.2.b.5; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_activity_selling_or_influencing_others__4_a_4_a_6,onet_work_activities.xlsx,O*NET Selling or Influencing Others; element 4.A.4.a.6; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_activity_staffing_organizational_units__4_a_4_c_2,onet_work_activities.xlsx,O*NET Staffing Organizational Units; element 4.A.4.c.2; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_activity_thinking_creatively__4_a_2_b_2,onet_work_activities.xlsx,O*NET Thinking Creatively; element 4.A.2.b.2; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_activity_training_and_teaching_others__4_a_4_b_3,onet_work_activities.xlsx,O*NET Training and Teaching Others; element 4.A.4.b.3; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_activity_updating_and_using_relevant_knowledge__4_a_2_b_3,onet_work_activities.xlsx,O*NET Updating and Using Relevant Knowledge; element 4.A.2.b.3; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_activity_working_with_computers__4_a_3_b_1,onet_work_activities.xlsx,O*NET Working with Computers; element 4.A.3.b.1; Importance (IM). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_conflict_situations__4_c_1_d_1,onet_work_context.xlsx,O*NET Conflict Situations; element 4.C.1.d.1; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_consequence_of_error__4_c_3_a_1,onet_work_context.xlsx,O*NET Consequence of Error; element 4.C.3.a.1; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_contact_with_others__4_c_1_a_4,onet_work_context.xlsx,O*NET Contact With Others; element 4.C.1.a.4; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_coordinate_or_lead_others_in_accomplishing_work_activities__4_c_1_b_1_g,onet_work_context.xlsx,O*NET Coordinate or Lead Others in Accomplishing Work Activities; element 4.C.1.b.1.g; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_deal_with_external_customers_or_the_public_in_general__4_c_1_b_1_f,onet_work_context.xlsx,O*NET Deal With External Customers or the Public in General; element 4.C.1.b.1.f; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_dealing_with_unpleasant_angry_or_discourteous_people__4_c_1_d_2,onet_work_context.xlsx,"O*NET Dealing With Unpleasant, Angry, or Discourteous People; element 4.C.1.d.2; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.",float64,24
work_context_dealing_with_violent_or_physically_aggressive_people__4_c_1_d_3,onet_work_context.xlsx,O*NET Dealing with Violent or Physically Aggressive People; element 4.C.1.d.3; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_degree_of_automation__4_c_3_b_2,onet_work_context.xlsx,O*NET Degree of Automation; element 4.C.3.b.2; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_determine_tasks_priorities_and_goals__4_c_3_b_8,onet_work_context.xlsx,"O*NET Determine Tasks, Priorities and Goals; element 4.C.3.b.8; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.",float64,24
work_context_e_mail__4_c_1_a_2_h,onet_work_context.xlsx,O*NET E-Mail; element 4.C.1.a.2.h; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_exposed_to_contaminants__4_c_2_b_1_d,onet_work_context.xlsx,O*NET Exposed to Contaminants; element 4.C.2.b.1.d; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_exposed_to_cramped_work_space_awkward_positions__4_c_2_b_1_e,onet_work_context.xlsx,"O*NET Exposed to Cramped Work Space, Awkward Positions; element 4.C.2.b.1.e; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.",float64,24
work_context_exposed_to_disease_or_infections__4_c_2_c_1_b,onet_work_context.xlsx,O*NET Exposed to Disease or Infections; element 4.C.2.c.1.b; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_exposed_to_extremely_bright_or_inadequate_lighting_conditions__4_c_2_b_1_c,onet_work_context.xlsx,O*NET Exposed to Extremely Bright or Inadequate Lighting Conditions; element 4.C.2.b.1.c; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_exposed_to_hazardous_conditions__4_c_2_c_1_d,onet_work_context.xlsx,O*NET Exposed to Hazardous Conditions; element 4.C.2.c.1.d; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_exposed_to_hazardous_equipment__4_c_2_c_1_e,onet_work_context.xlsx,O*NET Exposed to Hazardous Equipment; element 4.C.2.c.1.e; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_exposed_to_high_places__4_c_2_c_1_c,onet_work_context.xlsx,O*NET Exposed to High Places; element 4.C.2.c.1.c; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_exposed_to_minor_burns_cuts_bites_or_stings__4_c_2_c_1_f,onet_work_context.xlsx,"O*NET Exposed to Minor Burns, Cuts, Bites, or Stings; element 4.C.2.c.1.f; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.",float64,24
work_context_exposed_to_radiation__4_c_2_c_1_a,onet_work_context.xlsx,O*NET Exposed to Radiation; element 4.C.2.c.1.a; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_exposed_to_sounds_noise_levels_that_are_distracting_or_uncomfortable__4_c_2_b_1_a,onet_work_context.xlsx,"O*NET Exposed to Sounds, Noise Levels that are Distracting or Uncomfortable; element 4.C.2.b.1.a; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.",float64,24
work_context_exposed_to_very_hot_or_cold_temperatures__4_c_2_b_1_b,onet_work_context.xlsx,O*NET Exposed to Very Hot or Cold Temperatures; element 4.C.2.b.1.b; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_exposed_to_whole_body_vibration__4_c_2_b_1_f,onet_work_context.xlsx,O*NET Exposed to Whole Body Vibration; element 4.C.2.b.1.f; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_face_to_face_discussions_with_individuals_and_within_teams__4_c_1_a_2_l,onet_work_context.xlsx,O*NET Face-to-Face Discussions with Individuals and Within Teams; element 4.C.1.a.2.l; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_freedom_to_make_decisions__4_c_3_a_4,onet_work_context.xlsx,O*NET Freedom to Make Decisions; element 4.C.3.a.4; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_frequency_of_decision_making__4_c_3_a_2_b,onet_work_context.xlsx,O*NET Frequency of Decision Making; element 4.C.3.a.2.b; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_health_and_safety_of_other_workers__4_c_1_c_1,onet_work_context.xlsx,O*NET Health and Safety of Other Workers; element 4.C.1.c.1; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_impact_of_decisions_on_co_workers_or_company_results__4_c_3_a_2_a,onet_work_context.xlsx,O*NET Impact of Decisions on Co-workers or Company Results; element 4.C.3.a.2.a; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_importance_of_being_exact_or_accurate__4_c_3_b_4,onet_work_context.xlsx,O*NET Importance of Being Exact or Accurate; element 4.C.3.b.4; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_importance_of_repeating_same_tasks__4_c_3_b_7,onet_work_context.xlsx,O*NET Importance of Repeating Same Tasks; element 4.C.3.b.7; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_in_an_enclosed_vehicle_or_operate_enclosed_equipment__4_c_2_a_1_f,onet_work_context.xlsx,O*NET In an Enclosed Vehicle or Operate Enclosed Equipment; element 4.C.2.a.1.f; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_in_an_open_vehicle_or_operating_equipment__4_c_2_a_1_e,onet_work_context.xlsx,O*NET In an Open Vehicle or Operating Equipment; element 4.C.2.a.1.e; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_indoors_environmentally_controlled__4_c_2_a_1_a,onet_work_context.xlsx,"O*NET Indoors, Environmentally Controlled; element 4.C.2.a.1.a; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.",float64,24
work_context_indoors_not_environmentally_controlled__4_c_2_a_1_b,onet_work_context.xlsx,"O*NET Indoors, Not Environmentally Controlled; element 4.C.2.a.1.b; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.",float64,24
work_context_level_of_competition__4_c_3_c_1,onet_work_context.xlsx,O*NET Level of Competition; element 4.C.3.c.1; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_outdoors_exposed_to_all_weather_conditions__4_c_2_a_1_c,onet_work_context.xlsx,"O*NET Outdoors, Exposed to All Weather Conditions; element 4.C.2.a.1.c; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.",float64,24
work_context_outdoors_under_cover__4_c_2_a_1_d,onet_work_context.xlsx,"O*NET Outdoors, Under Cover; element 4.C.2.a.1.d; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.",float64,24
work_context_pace_determined_by_speed_of_equipment__4_c_3_d_3,onet_work_context.xlsx,O*NET Pace Determined by Speed of Equipment; element 4.C.3.d.3; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_physical_proximity__4_c_2_a_3,onet_work_context.xlsx,O*NET Physical Proximity; element 4.C.2.a.3; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_public_speaking__4_c_1_a_2_c,onet_work_context.xlsx,O*NET Public Speaking; element 4.C.1.a.2.c; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_spend_time_bending_or_twisting_your_body__4_c_2_d_1_h,onet_work_context.xlsx,O*NET Spend Time Bending or Twisting Your Body; element 4.C.2.d.1.h; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_spend_time_climbing_ladders_scaffolds_or_poles__4_c_2_d_1_c,onet_work_context.xlsx,"O*NET Spend Time Climbing Ladders, Scaffolds, or Poles; element 4.C.2.d.1.c; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.",float64,24
work_context_spend_time_keeping_or_regaining_balance__4_c_2_d_1_f,onet_work_context.xlsx,O*NET Spend Time Keeping or Regaining Balance; element 4.C.2.d.1.f; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_spend_time_kneeling_crouching_stooping_or_crawling__4_c_2_d_1_e,onet_work_context.xlsx,"O*NET Spend Time Kneeling, Crouching, Stooping, or Crawling; element 4.C.2.d.1.e; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.",float64,24
work_context_spend_time_making_repetitive_motions__4_c_2_d_1_i,onet_work_context.xlsx,O*NET Spend Time Making Repetitive Motions; element 4.C.2.d.1.i; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_spend_time_sitting__4_c_2_d_1_a,onet_work_context.xlsx,O*NET Spend Time Sitting; element 4.C.2.d.1.a; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_spend_time_standing__4_c_2_d_1_b,onet_work_context.xlsx,O*NET Spend Time Standing; element 4.C.2.d.1.b; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_spend_time_using_your_hands_to_handle_control_or_feel_objects_tools_or_controls__4_c_2_d_1_g,onet_work_context.xlsx,"O*NET Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls; element 4.C.2.d.1.g; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.",float64,24
work_context_spend_time_walking_or_running__4_c_2_d_1_d,onet_work_context.xlsx,O*NET Spend Time Walking or Running; element 4.C.2.d.1.d; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_telephone_conversations__4_c_1_a_2_f,onet_work_context.xlsx,O*NET Telephone Conversations; element 4.C.1.a.2.f; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_time_pressure__4_c_3_d_1,onet_work_context.xlsx,O*NET Time Pressure; element 4.C.3.d.1; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_wear_common_protective_or_safety_equipment_such_as_safety_shoes_glasses_gloves_hearing_protection_hard_hats_or_life_jackets__4_c_2_e_1_d,onet_work_context.xlsx,"O*NET Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets; element 4.C.2.e.1.d; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.",float64,24
work_context_wear_specialized_protective_or_safety_equipment_such_as_breathing_apparatus_safety_harness_full_protection_suits_or_radiation_protection__4_c_2_e_1_e,onet_work_context.xlsx,"O*NET Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection; element 4.C.2.e.1.e; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.",float64,24
work_context_work_outcomes_and_results_of_other_workers__4_c_1_c_2,onet_work_context.xlsx,O*NET Work Outcomes and Results of Other Workers; element 4.C.1.c.2; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_work_with_or_contribute_to_a_work_group_or_team__4_c_1_b_1_e,onet_work_context.xlsx,O*NET Work With or Contribute to a Work Group or Team; element 4.C.1.b.1.e; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
work_context_written_letters_and_memos__4_c_1_a_2_j,onet_work_context.xlsx,O*NET Written Letters and Memos; element 4.C.1.a.2.j; continuous Context (CX). mean of detailed O*NET occupations within six-digit SOC. Blank when the source has no rating for this occupation.,float64,24
in_eloundou,eloundou_6digit.csv,True if this job code is present in the source; False if absent. Presence does not guarantee every value is populated.,bool,0
in_aioe,aioe_2018soc.csv,True if this job code is present in the source; False if absent. Presence does not guarantee every value is populated.,bool,0
in_frey,frey_osborne_2018soc.csv,True if this job code is present in the source; False if absent. Presence does not guarantee every value is populated.,bool,0
in_job_zones,onet_job_zones_6digit.csv,True if this job code is present in the source; False if absent. Presence does not guarantee every value is populated.,bool,0
in_abilities,onet_abilities_6digit.csv,True if this job code is present in the source; False if absent. Presence does not guarantee every value is populated.,bool,0
in_skills,onet_skills_6digit.csv,True if this job code is present in the source; False if absent. Presence does not guarantee every value is populated.,bool,0
in_work_activities,onet_work_activities_6digit.csv,True if this job code is present in the source; False if absent. Presence does not guarantee every value is populated.,bool,0
in_work_context,onet_work_context_6digit.csv,True if this job code is present in the source; False if absent. Presence does not guarantee every value is populated.,bool,0
